"region","zone","language","residence","sex","population"
"harari","region","surmagna","rural","m",1
"harari","region","shegna","rural","m",1
"harari","region","shetagna","rural","m",0
"harari","region","tigrigna","rural","m",24
"harari","region","tembarogna","rural","m",0
"harari","region","tsemayigna","rural","m",0
"harari","region","upo","rural","m",0
"harari","region","welaitigna","rural","m",3
"harari","region","wergigna","rural","m",0
"harari","region","yemsagna","rural","m",0
"harari","region","zeysegna","rural","m",0
"harari","region","zlmamigna","rural","m",0
"harari","region","other.ethiopian.languages","rural","m",0
"harari","region","english","rural","m",0
"harari","region","other.foreign.languages","rural","m",5
"harari","region","affarigna","rural","f",0
"harari","region","agew-awinigigna","rural","f",0
"harari","region","agew-kamyrnya","rural","f",1
"harari","region","alabigna","rural","f",0
"harari","region","amarigna","rural","f",809
"harari","region","anyiwakgna","rural","f",8
"harari","region","argobigna","rural","f",13
"harari","region","arigna","rural","f",0
"harari","region","arborigna","rural","f",0
"harari","region","bachagna","rural","f",0
"harari","region","basketigna","rural","f",0
"harari","region","benchigna","rural","f",0
"harari","region","bertagna","rural","f",0
"harari","region","bodigna","rural","f",0
"harari","region","brayligna","rural","f",0
"harari","region","burjigna","rural","f",0
"harari","region","benagna","rural","f",0
"harari","region","charigna","rural","f",0
"harari","region","dasenechgna","rural","f",0
"harari","region","dawurogna","rural","f",0
"harari","region","debosgna","rural","f",0
"harari","region","derashigna","rural","f",0
"harari","region","dimegna","rural","f",0
"harari","region","dizigna","rural","f",0
"harari","region","dongigna","rural","f",0
"harari","region","demegna","rural","f",0
"harari","region","felashigna","rural","f",2
"harari","region","fedashigna","rural","f",0
"harari","region","gamogna","rural","f",0
"harari","region","gebatogna","rural","f",0
"harari","region","gedeogna","rural","f",0
"harari","region","gedichogna","rural","f",0
"harari","region","gedoligna","rural","f",0
"harari","region","goffigna","rural","f",0
"harari","region","gumuzigna","rural","f",0
"harari","region","guragiegna","rural","f",16
"harari","region","guagugna","rural","f",2
"harari","region","hadiyigna","rural","f",2
"harari","region","hareriegna","rural","f",698
"harari","region","hamerigna","rural","f",0
"harari","region","irobigna","rural","f",0
"harari","region","keffagna","rural","f",0
"harari","region","kembatigna","rural","f",2
"harari","region","kontigna","rural","f",0
"harari","region","komigna","rural","f",0
"harari","region","konsogna","rural","f",0
"harari","region","koregna","rural","f",0
