"region","zone","ethnic.group","residence","sex","population"
"dire.dawa","administration","dizi","rural","m",0
"dire.dawa","administration","donga","rural","m",0
"dire.dawa","administration","fedashe","rural","m",0
"dire.dawa","administration","gamo","rural","m",1
"dire.dawa","administration","gebato","rural","m",0
"dire.dawa","administration","gedeo","rural","m",0
"dire.dawa","administration","gedicho","rural","m",0
"dire.dawa","administration","gidole","rural","m",0
"dire.dawa","administration","goffa","rural","m",0
"dire.dawa","administration","gumuz","rural","m",0
"dire.dawa","administration","guragie","rural","m",14
"dire.dawa","administration","guagu","rural","m",0
"dire.dawa","administration","hadiya","rural","m",0
"dire.dawa","administration","hareri","rural","m",1
"dire.dawa","administration","hamer","rural","m",1
"dire.dawa","administration","irob","rural","m",0
"dire.dawa","administration","kefficho","rural","m",0
"dire.dawa","administration","kembata","rural","m",0
"dire.dawa","administration","konta","rural","m",0
"dire.dawa","administration","komo","rural","m",0
"dire.dawa","administration","konso","rural","m",0
"dire.dawa","administration","kore","rural","m",1
"dire.dawa","administration","koyego","rural","m",0
"dire.dawa","administration","kunama","rural","m",0
"dire.dawa","administration","karo","rural","m",0
"dire.dawa","administration","kusumie","rural","m",0
"dire.dawa","administration","malie","rural","m",6
"dire.dawa","administration","mao","rural","m",0
"dire.dawa","administration","mareko","rural","m",0
"dire.dawa","administration","mashola","rural","m",0
"dire.dawa","administration","mere","rural","m",2
"dire.dawa","administration","me-enite","rural","m",0
"dire.dawa","administration","messengo","rural","m",0
"dire.dawa","administration","mejenger","rural","m",0
"dire.dawa","administration","mossiye","rural","m",0
"dire.dawa","administration","mursi","rural","m",3
"dire.dawa","administration","murle","rural","m",0
"dire.dawa","administration","nao","rural","m",2
"dire.dawa","administration","nuwer","rural","m",1
"dire.dawa","administration","nyangatom","rural","m",10
"dire.dawa","administration","oromo","rural","m",40238
"dire.dawa","administration","oida","rural","m",10
"dire.dawa","administration","qebena","rural","m",2
"dire.dawa","administration","qechem","rural","m",0
"dire.dawa","administration","qewama","rural","m",0
"dire.dawa","administration","shekecho","rural","m",1
"dire.dawa","administration","sheko","rural","m",0
"dire.dawa","administration","shinasha","rural","m",0
"dire.dawa","administration","sidama","rural","m",0
"dire.dawa","administration","silte","rural","m",12
"dire.dawa","administration","somalie","rural","m",14700
"dire.dawa","administration","surma","rural","m",0
"dire.dawa","administration","she","rural","m",4
"dire.dawa","administration","tigrie","rural","m",2
"dire.dawa","administration","timebaro","rural","m",0
"dire.dawa","administration","tsemay","rural","m",0
"dire.dawa","administration","upo","rural","m",0
"dire.dawa","administration","welaita","rural","m",1
"dire.dawa","administration","werji","rural","m",0
"dire.dawa","administration","yem","rural","m",0
