"region","zone","language","residence","sex","population"
"addis.ababa","kolfe.keraniyo","other.foreign.languages","urban","m",106
"addis.ababa","gulele","affarigna","urban","m",65
"addis.ababa","gulele","agew-awinigigna","urban","m",47
"addis.ababa","gulele","agew-kamyrnya","urban","m",62
"addis.ababa","gulele","alabigna","urban","m",168
"addis.ababa","gulele","amarigna","urban","m",97177
"addis.ababa","gulele","anyiwakgna","urban","m",106
"addis.ababa","gulele","argobigna","urban","m",148
"addis.ababa","gulele","arigna","urban","m",28
"addis.ababa","gulele","arborigna","urban","m",33
"addis.ababa","gulele","bachagna","urban","m",2
"addis.ababa","gulele","basketigna","urban","m",2
"addis.ababa","gulele","benchigna","urban","m",2
"addis.ababa","gulele","bertagna","urban","m",18
"addis.ababa","gulele","bodigna","urban","m",2
"addis.ababa","gulele","brayligna","urban","m",8
"addis.ababa","gulele","burjigna","urban","m",7
"addis.ababa","gulele","benagna","urban","m",1
"addis.ababa","gulele","charigna","urban","m",1
"addis.ababa","gulele","dasenechgna","urban","m",4
"addis.ababa","gulele","dawurogna","urban","m",23
"addis.ababa","gulele","debosgna","urban","m",7
"addis.ababa","gulele","derashigna","urban","m",12
"addis.ababa","gulele","dimegna","urban","m",2
"addis.ababa","gulele","dizigna","urban","m",8
"addis.ababa","gulele","dongigna","urban","m",18
"addis.ababa","gulele","demegna","urban","m",9
"addis.ababa","gulele","felashigna","urban","m",3
"addis.ababa","gulele","fedashigna","urban","m",10
"addis.ababa","gulele","gamogna","urban","m",8625
"addis.ababa","gulele","gebatogna","urban","m",3
"addis.ababa","gulele","gedeogna","urban","m",8
"addis.ababa","gulele","gedichogna","urban","m",1
"addis.ababa","gulele","gedoligna","urban","m",3
"addis.ababa","gulele","goffigna","urban","m",23
"addis.ababa","gulele","gumuzigna","urban","m",20
"addis.ababa","gulele","guragiegna","urban","m",5784
"addis.ababa","gulele","guagugna","urban","m",19
"addis.ababa","gulele","hadiyigna","urban","m",403
"addis.ababa","gulele","hareriegna","urban","m",117
"addis.ababa","gulele","hamerigna","urban","m",2
"addis.ababa","gulele","irobigna","urban","m",0
"addis.ababa","gulele","keffagna","urban","m",61
"addis.ababa","gulele","kembatigna","urban","m",90
"addis.ababa","gulele","kontigna","urban","m",2
"addis.ababa","gulele","komigna","urban","m",2
